26364	26364	26364	0.401148	0.406009	0.396967	  279.0942	  276.4152	  275.8779	  279.627	1.48225e-08	  100	4.5
26365	26365	26365	0.400531	0.405563	0.396922	  279.4689	  277.1223	  276.0386	  279.6142	1.48225e-08	  100	4.54167
26366	26366	26366	0.400091	0.405184	0.396888	  276.4879	  276.8104	  276.1938	  279.6026	1.48225e-08	  100	4.58333
26367	26367	26367	0.399856	0.404893	0.396871	  272.6231	  275.6588	  276.2503	  279.5917	1.48225e-08	  100	4.625
26368	26368	26368	0.399629	0.404614	0.396852	  270.3546	  274.618	  276.2219	  279.5808	1.48225e-08	  100	4.66667
26369	26369	26369	0.399403	0.404344	0.396832	  269.2676	  273.8099	  276.1331	  279.5695	1.48225e-08	  100	4.70833
26370	26370	26370	0.399177	0.404081	0.39681	  268.6425	  273.6883	  276.0324	  279.5575	1.48225e-08	  100	4.75
26371	26371	26371	0.398952	0.403824	0.396787	  268.4145	  273.5903	  275.9335	  279.545	1.48225e-08	  100	4.79167
26372	26372	26372	0.398726	0.403574	0.396762	  268.3887	  273.5079	  275.8374	  279.5319	1.48225e-08	  100	4.83333
26373	26373	26373	0.398501	0.403329	0.396735	  268.3373	  273.4347	  275.7447	  279.5183	1.48225e-08	  100	4.875
26374	26374	26374	0.398278	0.403089	0.396707	  268.2544	  273.3662	  275.6554	  279.5042	1.48225e-08	  100	4.91667
26375	26375	26375	0.398055	0.402853	0.396678	  268.1621	  273.3014	  275.5694	  279.4897	1.48225e-08	  100	4.95833
26376	26376	26376	0.397835	0.402623	0.396647	  268.0809	  273.2395	  275.4867	  279.4746	1.48225e-08	  100	5
26377	26377	26377	0.397617	0.402396	0.396615	  268.0221	  273.1805	  275.4071	  279.4592	1.48225e-08	  100	5.04167
26378	26378	26378	0.3974	0.402174	0.396582	  268.1104	  273.1265	  275.3306	  279.4433	1.48225e-08	  100	5.08333
26379	26379	26379	0.397186	0.401955	0.396547	  268.1273	  273.0758	  275.2573	  279.4271	1.48225e-08	  100	5.125
26380	26380	26380	0.396974	0.40174	0.396512	  268.0946	  273.0263	  275.187	  279.4105	1.48225e-08	  100	5.16667
26381	26381	26381	0.396763	0.401528	0.396475	  268.6534	  272.9883	  275.1197	  279.3936	1.48225e-08	  100	5.20833
26382	26382	26382	0.396555	0.40132	0.396437	  268.8978	  272.9569	  275.0563	  279.3765	1.48225e-08	  100	5.25
26383	26383	26383	0.39635	0.401115	0.396399	  268.908	  272.9248	  274.9961	  279.359	1.48225e-08	  100	5.29167
26384	26384	26384	0.396139	0.400908	0.396358	  279.2219	  273.0614	  274.9452	  279.3413	1.48225e-08	  100	5.33333
26385	26385	26385	0.395701	0.40059	0.39629	  278.0218	  273.176	  274.9102	  279.3235	1.48225e-08	  100	5.375
26386	26386	26386	0.395261	0.400268	0.39622	  279.2744	  273.3376	  274.8891	  279.3057	1.48225e-08	  100	5.41667
26387	26387	26387	0.394833	0.399951	0.396148	  280.1176	  273.5378	  274.8836	  279.288	1.48225e-08	  100	5.45833
26388	26388	26388	0.394418	0.39964	0.396077	  280.3592	  273.7841	  274.8951	  279.2705	1.48225e-08	  100	5.5
26389	26389	26389	0.394009	0.399331	0.396005	  280.6025	  274.207	  274.9315	  279.2533	1.48225e-08	  100	5.54167
26390	26390	26390	0.393745	0.399081	0.395946	  276.7482	  274.7975	  275.0271	  279.2369	1.48225e-08	  100	5.58333
26391	26391	26391	0.393614	0.398891	0.395898	  270.2407	  273.8063	  275.0393	  279.2208	1.48225e-08	  100	5.625
26392	26392	26392	0.39348	0.398706	0.395851	  269.0311	  273.6556	  275.0323	  279.2048	1.48225e-08	  100	5.66667
26393	26393	26393	0.393343	0.398524	0.395802	  269.1638	  273.5594	  275.0176	  279.1889	1.48225e-08	  100	5.70833
26394	26394	26394	0.393205	0.398346	0.395753	  269.1915	  273.4827	  274.9983	  279.173	1.48225e-08	  100	5.75
26395	26395	26395	0.393065	0.398171	0.395704	  269.0779	  273.4118	  274.9752	  279.1571	1.48225e-08	  100	5.79167
26396	26396	26396	0.392923	0.397999	0.395654	  268.9057	  273.3448	  274.949	  279.1411	1.48225e-08	  100	5.83333
26397	26397	26397	0.392781	0.39783	0.395603	  268.7809	  273.2816	  274.9203	  279.1251	1.48225e-08	  100	5.875
